,Name,AST%,STL%,BLK%
0,Amile Jefferson,6.8,1.4,3.7
1,Luke Kornet,10,1.3,4.4
2,Isaiah Hicks,9.5,0.5,2.2
6,Kyle Kuzma,9.6,0.9,1.2
7,Johnathan Motley,11.8,1.4,1.1
8,Jordan Bell,13.8,1.5,5.1
9,Caleb Swanigan,11.4,1.0,1.4
10,Thomas Bryant,10.1,0.9,3.7
11,Ivan Rabb,11.3,1.2,2.1
12,John Collins,9.3,1.0,3.2
14,Chris Boucher,4.3,1.4,8.1
15,TJ Leaf,5.1,1.0,2.0
16,Jarrett Allen,7.6,1.0,4.4
17,Bam Adebayo,17.7,1.6,3.3
18,Zach Collins,7.1,0.9,3.1
20,Marshall Plumlee,7.4,0.9,1.9
21,A.J. Hammons,3.8,0.3,7.2
22,Brice Johnson,4.7,5.1,5.8
26,Alex Poythress,,,
28,Shawn Long,,,
29,Damian Jones,,,
30,Jarrod Uthoff,,,
31,Domantas Sabonis,,,
32,Jakob Poeltl,,,
34,Pascal Siakam,,,
35,Marquese Chriss,,,
36,Deyonta Davis,,,
38,Stephen Zimmerman Jr.,,,
39,Henry Ellenson,,,
40,Derrick Jones Jr.,,,
41,Vernon Macklin,,,
42,JaJuan Johnson,,,
43,Lavoy Allen,,,
44,Kenneth Faried,,,
45,Jon Leuer,,,
49,Chris Wright,,,
50,Malcolm Thomas,,,
51,Markieff Morris,,,
52,Nikola Vucevic,,,
53,Josh Harrellson,,,
54,Marcus Morris,,,
55,Jordan Williams,,,
56,Kawhi Leonard,,,
57,Greg Smith,,,
58,Tristan Thompson,,,
59,Tobias Harris,,,
60,Jeremy Evans,,,
61,Derrick Caracter,,,
62,Cole Aldrich,,,
63,Damion James,,,
64,Dexter Pittman,,,
65,Lance Thomas,,,
66,Solomon Alabi,,,
67,Arinze Onuaku,,,
68,Ekpe Udoh,,,
69,Luke Harangody,,,
70,Larry Sanders,,,
72,Jarvis Varnado,,,
73,Craig Brackins,,,
74,Patrick Patterson,,,
76,Greg Monroe,,,
77,Al-Farouq Aminu,,,
78,Samardo Samuels,,,
79,Ed Davis,,,
80,Willie Reed,,,
81,Derrick Favors,,,
82,Jerome Jordan,,,
83,Hassan Whiteside,,,
84,DeMarcus Cousins,,,
85,Jeff Withey,,,
86,Jack Cooley,,,
87,Kelly Olynyk,,,
88,Mason Plumlee,,,
91,Mike Muscala,,,
92,Andre Roberson,,,
93,Gorgui Dieng,,,
94,Alex Len,,,
96,Dewayne Dedmon,,,
97,Cody Zeller,,,
99,Steven Adams,,,
100,Nerlens Noel,,,
101,Robert Sacre,,,
102,Mike Scott,,,
103,Festus Ezeli,,,
104,JaMychal Green,,,
105,Justin Hamilton,,,
106,Henry Sims,,,
107,Tyler Zeller,,,
108,Andrew Nicholson,,,
109,Miles Plumlee,,,
110,Kyle O'Quinn,,,
111,Quincy Acy,,,
112,John Henson,,,
113,Thomas Robinson,,,
115,Terrence Jones,,,
116,Meyers Leonard,,,
118,Bernard James,,,
119,Jared Sullinger,,,
120,Perry Jones III,,,
122,Andre Drummond,,,
123,Arnett Moultrie,,,
124,Anthony Davis,,,
125,Quincy Miller,,,
128,Chris Silva,,,
129,Juwan Morgan,,,
130,Donta Hall,,,
135,Brandon Clarke,,,
138,Jalen McDaniels,,,
140,Nicolas Claxton,,,
141,Daniel Gafford,,,
142,PJ Washington,,,
143,Bruno Fernando,,,
144,Jaylen Hoard,,,
145,Naz Reid,,,
147,Jaxson Hayes,,,
148,Frank Kaminsky,,,
149,Alan Williams,,,
150,Rakeem Christmas,,,
152,Willie Cauley-Stein,,,
153,Montrezl Harrell,,,
154,Richaun Holmes,,,
155,Jordan Mickey,,,
156,Alfonzo McKinnie,,,
157,Dakari Johnson,,,
158,Christian Wood,,,
159,Bobby Portis,,,
160,Maurice Ndour,,,
161,Karl-Anthony Towns,,,
162,Trey Lyles,,,
163,Kevon Looney,,,
164,Myles Turner,,,
165,Jahlil Okafor,,,
166,Eric Moreland,,,
167,Okaro White,,,
169,Josh Huestis,,,
170,Cameron Bairstow,,,
171,Johnny O'Bryant III,,,
172,Shayne Whittington,,,
173,Cory Jefferson,,,
174,James Michael McAdoo,,,
175,Jarnell Stokes,,,
176,Khem Birch,,,
177,Jerami Grant,,,
180,Julius Randle,,,
181,Noah Vonleh,,,
182,Joel Embiid,,,
183,Jabari Parker,,,
184,Keita Bates-Diop,,,
186,Gary Clark,,,
190,Drew Eubanks,,,
191,Chimezie Metu,,,
193,Wenyen Gabriel,,,
194,Johnathan Williams,,,
196,Alize Johnson,,,
197,Robert Williams,,,
198,Omari Spellman,,,
199,Jemerrio Jones,,,
200,Deandre Ayton,,,
201,Marvin Bagley III,,,
202,Mohamed Bamba,,,
203,Wendell Carter Jr.,,,
204,Jaren Jackson Jr.,,,