,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min
0,1,0,A-10,3,5,1,5,4,13,18,2,4,23,75,1,3,Jack Westerfield,16,Dayton,2,1,4,2019,2016
1,1,1,Big Ten,6,6,3,8,3,14,22,1,2,47,71,4,7,Keenan Wetzel,16,Michigan State,0,3,10,2015,2012
2,0,0,Total,8,5,1,1,4,7,8,2,5,20,36,0,2,Max Wiepking,16,Arizona,0,1,8,2013,2011
3,2,9,Total,18,7,7,18,0,1,19,2,3,25,138,8,25,Travon Wilcher,16,Total,4,11,26,2012,2009
4,1,0,SWAC,1,4,3,8,1,5,13,7,9,13,40,3,14,Andrew Wilkerson,16,Texas Southern,3,10,4,2007,2007
5,1,0,MEAC,2,6,3,6,3,6,12,1,2,3,37,1,5,Jamir Williams,16,Florida A&M,4,2,3,2020,2020
6,12,0,CUSA,7,6,6,15,0,3,18,4,9,4,74,3,5,Ryan Williams,16,Tulane,5,8,10,2007,2007
7,5,0,AAC,9,5,0,1,5,14,15,1,4,10,61,1,3,Tom Wilson,16,Southern Methodist,1,6,10,2017,2017
8,3,0,Big 12,4,6,2,7,4,11,18,0,0,28,50,2,2,Zach Winter,16,Kansas State,3,4,6,2017,2016
9,2,22,Southern,22,5,5,11,0,0,11,6,13,26,172,10,35,Rashad Wright,16,College of Charleston,5,7,32,2010,2010
10,1,2,Southland,8,5,3,6,2,10,16,3,6,18,35,1,3,Austin Adams,15,Northwestern State,1,5,9,2014,2013
11,1,0,OVC,7,5,2,7,3,12,19,2,2,10,71,1,5,Hampus Ahlin,15,Tennessee State,2,7,8,2018,2018
12,4,5,Sun Belt,8,6,3,12,3,4,16,0,4,9,95,3,15,David Anderson,15,Florida Atlantic,2,9,11,2007,2007
13,1,1,Horizon,2,4,4,5,0,0,5,7,10,11,26,4,3,Kevin Anderson,15,Cleveland State,3,3,6,2010,2010
14,8,0,Ivy,6,5,1,2,4,15,17,1,2,16,91,0,8,Kevin App,15,Cornell,3,5,6,2007,2007
15,5,2,SWAC,24,5,5,21,0,1,22,5,6,21,199,6,11,Josh Armstrong,15,Jackson State,5,9,30,2012,2011
16,0,1,Southland,7,7,7,16,0,0,16,1,4,12,67,5,15,Tavin Askew,15,Incarnate Word,2,1,12,2016,2016
17,4,1,Ivy,3,4,1,5,3,9,14,4,5,29,79,4,8,Charlie Bagin,15,Princeton,4,9,7,2020,2018
18,5,8,SWAC,8,6,6,20,0,0,20,3,8,25,137,6,20,Brandon Baker,15,Jackson State,0,6,14,2008,2008
19,2,0,CUSA,4,5,0,2,5,13,15,0,0,6,35,1,0,Ryan Barbre,15,Southern Methodist,0,3,5,2010,2010
20,0,0,SWAC,2,5,1,3,4,13,16,1,4,7,41,0,8,Corey Barnes,15,Alcorn State,1,5,2,2015,2015
21,2,16,Southern,12,6,3,7,3,13,20,0,0,24,104,1,9,Levi Barnes,15,Samford,5,4,13,2013,2011
22,2,1,ACC,11,6,4,9,2,7,16,1,4,28,61,3,7,Justice Bartley,15,Virginia,0,11,14,2018,2016
23,8,0,Big Sky,5,6,3,7,3,12,19,0,0,31,107,1,9,T.J. Benson,15,Weber State,3,7,6,2009,2008
24,2,0,Total,1,4,3,6,1,6,12,6,6,24,72,1,8,Ricky Bieszki,15,Oakland,5,3,2,2009,2007
25,3,0,Total,4,6,3,3,3,9,12,0,4,14,34,2,7,Ryder Bowline,15,Elon,1,4,6,2017,2014
26,2,0,Pac-12,5,5,1,2,4,9,11,1,2,20,43,1,4,Brett Brady,15,Colorado,2,3,6,2016,2014
27,7,0,MAC,1,5,1,4,4,22,26,1,2,17,140,3,16,Chase Brogna,15,Ball State,2,3,4,2014,2013
28,5,0,Pac-12,4,6,5,15,1,8,23,2,2,36,76,3,4,David Brown,15,UCLA,6,11,7,2015,2012
29,0,2,Big South,12,6,6,11,0,0,11,3,4,18,76,9,11,Gabe Bryant,15,Gardner-Webb,2,6,21,2020,2020
30,11,1,Big Sky,20,6,6,12,0,0,12,3,10,20,137,14,19,G.B. Burningham,15,Weber State,5,3,34,2007,2007
31,7,1,SWAC,14,6,4,12,2,10,22,1,3,16,135,7,15,Brandon Byars,15,Southern,2,10,21,2008,2008
32,3,0,SEC,5,4,1,6,3,7,13,4,6,16,32,0,2,Lucas Campbell,15,Tennessee,1,2,5,2019,2016
33,4,3,MEAC,10,5,4,8,1,5,13,4,5,9,65,1,8,Tahj-Malik Campbell,15,Morgan State,2,7,11,2020,2020
34,1,4,A-10,11,7,7,18,0,1,19,1,3,14,78,5,14,Robert Carpenter,15,St. Bonaventure,3,3,16,2020,2020
35,2,2,Big East,9,5,2,9,3,9,18,2,6,14,66,5,15,Grayson Carter,15,Georgetown,2,8,14,2019,2019
36,1,0,CAA,2,3,2,5,1,2,7,8,11,16,26,1,2,Cam Chambers,15,North Carolina-Wilmington,1,4,3,2012,2011
37,1,0,MAC,4,5,2,2,3,20,22,2,2,11,83,1,1,Zeke Chapman,15,Ball State,3,4,5,2012,2012
38,1,1,AEC,10,7,7,15,0,0,15,1,2,27,77,9,19,Alex Christie,15,Stony Brook,2,7,19,2020,2019
39,6,0,MAC,8,4,1,4,3,10,14,4,4,13,72,5,11,Donald Cloutier,15,Western Michigan,7,6,13,2007,2007
40,4,0,CAA,2,4,1,1,3,4,5,4,6,18,24,0,0,Christian Collins,15,Towson,2,1,2,2013,2012
41,0,1,AEC,7,6,3,8,3,11,19,0,0,16,58,1,5,Matt Conway,15,Maryland-Baltimore County,2,2,8,2011,2011
42,1,0,CAA,2,5,1,1,4,15,16,1,1,22,81,3,8,Deyon Cook,15,Towson,1,5,5,2012,2012
43,1,3,GWC,6,5,3,13,2,6,19,3,7,13,87,7,9,Matt Darnell,15,NJIT,4,7,13,2010,2010
44,6,0,ACC,5,3,2,7,1,4,11,8,14,45,90,3,10,Jordan Davidson,15,Duke,2,7,8,2010,2007
45,4,0,Big South,5,6,5,8,1,4,12,2,2,5,19,1,4,Avery Davis,15,Winthrop,0,1,6,2019,2019
46,6,1,Patriot,3,4,3,7,1,9,16,6,6,24,52,1,6,Jay Jay Davis,15,Lehigh,2,5,4,2018,2016
47,0,0,SWAC,1,6,3,10,3,7,17,0,0,3,39,1,3,Justin Dobbs,15,Grambling,3,7,2,2013,2013
48,1,2,ACC,9,7,7,10,0,0,10,1,6,17,56,5,11,Chris Doherty,15,Notre Dame,2,2,14,2020,2019
49,2,4,Southland,15,7,6,20,1,1,21,0,0,8,105,7,25,Jeff Drew,15,Central Arkansas,4,11,22,2014,2014
50,1,0,Southern,0,6,5,8,1,4,12,2,4,7,28,0,1,Dillon Dunford,15,Western Carolina,5,1,0,2012,2012
51,0,0,SWAC,7,5,5,10,0,0,10,5,8,6,45,3,7,James Edwards,15,Southern,1,1,10,2020,2020
52,5,0,A-Sun,3,7,6,20,1,5,25,0,0,15,76,4,4,Selden Edwards,15,Gardner-Webb,3,4,7,2007,2007
53,2,1,MVC,5,6,6,12,0,1,13,3,7,14,51,2,7,C.J. Erickson,15,Evansville,1,4,7,2009,2009
54,1,1,SWAC,10,6,4,5,2,3,8,1,2,10,41,4,5,Josh Everett,15,Jackson State,3,3,14,2020,2019
55,8,0,Big South,12,6,6,12,0,2,14,3,9,39,143,3,15,Dominic Ezeani,15,Longwood,6,4,15,2018,2017
56,11,0,Patriot,18,7,7,15,0,1,16,1,9,25,135,10,9,Nick Finke,15,Army,1,7,28,2020,2018
57,2,0,Big East,2,5,3,6,2,9,15,3,4,26,39,0,6,Andrew Fonts,15,Providence,3,2,2,2020,2018
58,5,0,Ivy,7,5,2,7,3,4,11,2,5,24,94,0,15,Matt Fraschilla,15,Harvard,3,11,7,2017,2014
59,8,0,Big Sky,4,6,5,12,1,5,17,2,2,18,119,0,16,Evan Garrison,15,Portland State,2,4,4,2016,2016
60,3,2,MEAC,7,6,6,10,0,0,10,3,8,5,60,8,14,Jakeel Gary,15,Norfolk State,3,7,15,2007,2007
61,3,1,Ivy,4,4,4,12,0,4,16,7,11,9,37,7,3,Michael Gately,15,Columbia,1,2,11,2007,2007
62,19,2,Horizon,16,4,3,10,1,9,19,6,6,20,105,1,14,CJ Gettelfinger,15,Oakland,6,15,17,2020,2020
63,3,0,Total,6,4,2,6,2,6,12,5,6,9,30,2,0,Adam Glenville,15,Oral Roberts,0,2,8,2016,2014
64,2,4,SWAC,10,6,5,7,1,5,12,2,3,7,68,5,8,Therrell Gosier II,15,Alabama State,3,11,15,2019,2019
65,3,0,Big Sky,1,5,4,12,1,1,13,4,8,10,47,1,2,Zach Graves,15,Montana,3,4,2,2008,2008
66,7,0,Total,13,6,3,12,3,16,28,0,5,39,124,8,15,Trevon Gross Jr.,15,Total,6,8,21,2019,2017
67,3,1,Summit,6,5,4,7,1,5,12,4,7,22,65,3,8,Rylen Grundy,15,Purdue-Fort Wayne,4,5,9,2020,2019
68,1,4,WAC,20,7,7,17,0,0,17,1,6,14,80,6,7,Colin Hallberg,15,Boise State,2,3,26,2007,2007
69,1,2,Big Ten,5,6,6,8,0,0,8,3,6,16,66,8,10,Jermaine Hamlin,15,Illinois,2,5,13,2020,2020
70,3,0,Horizon,3,5,3,17,2,8,25,3,8,26,75,3,9,Jimmy Harding,15,Illinois-Chicago,4,6,6,2011,2008
71,9,0,Patriot,5,4,2,4,2,8,12,5,5,19,54,2,4,Jeff Harris,15,Holy Cross,4,9,7,2012,2009
72,6,0,Big South,2,5,3,6,2,8,14,3,5,18,118,2,8,Deacon Heath,15,North Carolina-Asheville,1,3,4,2020,2019
73,1,1,Pac-10,8,7,7,14,0,2,16,1,2,19,69,2,8,Chris Henry,15,Washington State,2,5,10,2008,2007
74,3,0,OVC,6,5,0,9,5,16,25,0,1,14,70,0,1,Greg Holley,15,Tennessee State,5,7,6,2010,2009
75,1,2,Big South,6,6,5,14,1,2,16,2,5,2,41,6,3,Frank Holloway,15,Longwood,1,7,12,2013,2013
76,0,0,Horizon,3,5,3,7,2,6,13,3,5,6,41,0,5,Austin Hood,15,Illinois-Chicago,1,2,3,2010,2010
77,1,0,Patriot,3,5,0,3,5,19,22,0,0,11,55,1,4,Jason Houle,15,Army,1,3,4,2018,2017
78,3,0,MVC,5,5,2,3,3,8,11,2,2,14,60,2,6,Sean Houpt,15,Bradley,1,2,7,2020,2020
79,3,1,A-Sun,16,6,6,13,0,1,14,3,9,14,92,8,11,Logan Hovey,15,Florida Gulf Coast,2,3,24,2015,2015
80,0,2,Summit,3,4,0,4,4,15,19,3,5,21,87,0,8,John Hubler,15,IUPUI,1,7,3,2016,2015
81,2,0,Big South,9,7,6,7,1,1,8,0,0,15,31,2,4,Keyshawn Hunter,15,Winthrop,1,0,11,2020,2019
82,11,0,Pac-10,5,5,5,9,0,4,13,5,7,16,105,2,4,Marcus Jackson,15,Arizona State,4,8,7,2011,2010
83,0,6,Big Ten,25,7,7,16,0,0,16,1,4,44,211,6,40,Tijan Jobe,15,Indiana,0,13,31,2010,2009
84,4,0,MAC,6,5,5,11,0,1,12,5,7,18,35,1,2,Tyrone Jordan,15,Central Michigan,1,3,7,2008,2007
85,1,0,ACC,1,4,2,2,2,2,4,5,5,11,19,2,0,Grant Kersey,15,Virginia,2,2,3,2020,2019
86,8,0,MAAC,4,5,5,11,0,1,12,5,8,15,58,3,7,Ashton Khan,15,Canisius,4,6,7,2011,2011
87,3,5,Big East,18,5,1,6,4,5,11,1,6,18,94,6,19,Mike Kinsella,15,Marquette,0,7,24,2007,2007
88,10,0,Southern,9,6,6,13,0,9,22,3,5,19,93,7,13,Kobe Langley,15,North Carolina-Greensboro,13,11,16,2020,2020
89,3,0,Total,7,4,0,1,4,7,8,3,4,22,80,3,7,Ethan Lasko,15,Total,2,7,10,2020,2018
90,12,1,MAAC,6,7,6,11,1,1,12,0,2,15,95,1,3,Chris Leppanen,15,Siena,2,10,7,2013,2013
91,3,0,Big Sky,10,6,6,11,0,1,12,3,8,15,94,11,11,Keshawn Liggins,15,Idaho State,4,1,21,2017,2017
92,17,1,Pac-10,6,5,2,4,3,9,13,2,2,29,119,1,8,David Liss,15,University of California,1,8,7,2008,2007
93,1,1,Ivy,6,5,4,5,1,5,10,4,4,17,48,2,4,Miki Ljuboja,15,Brown,3,7,8,2017,2015
94,5,0,A-Sun,12,6,4,6,2,13,19,1,2,23,134,1,11,Chad Lutkenhaus,15,Florida Gulf Coast,4,7,13,2011,2011
95,1,2,SEC,4,4,2,5,2,11,16,5,9,28,51,1,2,Will Macoy,15,Auburn,3,1,5,2020,2017
96,2,5,Big South,19,6,6,15,0,0,15,3,6,23,161,15,34,Georges Massoda,15,High Point,6,13,34,2012,2011
97,5,0,CUSA,9,4,1,2,3,9,11,4,4,25,135,1,19,Anderson McCoy,15,Alabama-Birmingham,0,7,10,2019,2018
98,3,0,CAA,10,6,3,4,3,10,14,0,0,38,95,3,7,Brian McDonald,15,Northeastern,2,4,13,2010,2007
99,1,5,SWAC,13,6,6,17,0,2,19,3,4,18,186,8,47,Lonnie McElwain,15,Grambling,2,13,21,2015,2015
100,4,1,Big Ten,5,6,6,13,0,3,16,3,5,23,82,5,10,Jean-Marc Melchior,15,Northwestern,4,6,10,2008,2007
101,9,1,Big 12,8,4,2,2,2,7,9,5,7,24,136,0,11,Dee Mitchell,15,Oklahoma State,3,7,8,2020,2019
102,0,1,Ivy,5,5,1,3,4,6,9,1,2,10,46,1,4,Jason Mitchell,15,Cornell,2,3,6,2007,2007
103,3,2,MVC,36,6,6,19,0,0,19,3,8,44,311,13,54,Nate Mitchell,15,Southern Illinois,4,13,49,2011,2010
104,1,1,Patriot,7,3,2,4,1,9,13,8,11,11,58,0,10,Chall Montgomery,15,Navy,2,7,7,2012,2012
105,1,0,Ivy,6,6,6,9,0,0,9,3,5,11,28,2,6,Hashim Moore,15,Princeton,0,4,8,2015,2014
106,0,0,SEC,5,5,3,7,2,8,15,3,8,13,52,1,2,Tevin Moore,15,Mississippi State,0,3,6,2014,2014
107,0,0,A-Sun,5,5,2,2,3,6,8,2,2,11,23,1,2,Brady Moses,15,Stetson,0,1,6,2018,2017
108,3,0,CAA,1,5,2,4,3,6,10,2,4,14,27,0,1,Omar Mostafa,15,William & Mary,3,2,1,2018,2017
109,1,3,Horizon,3,6,6,15,0,4,19,3,4,5,58,4,4,Brandon Neel,15,Wright State,4,2,7,2016,2016
110,7,0,A-10,2,4,1,2,3,8,10,4,6,22,87,0,9,Lucas Newton,15,Duquesne,2,9,2,2010,2008
111,8,0,CUSA,6,7,6,9,1,6,15,0,1,17,74,4,13,Jonathan Nunaz,15,Florida International,1,4,10,2020,2020
112,2,1,Total,0,4,2,4,2,3,7,5,7,23,53,0,11,Keith Oddo,15,Total,1,1,0,2020,2017
113,4,0,SWAC,4,6,5,12,1,2,14,2,7,5,34,0,6,Denarius Odell,15,Alcorn State,3,3,4,2014,2014
114,1,0,Total,7,6,6,14,0,0,14,3,7,30,62,7,11,Mogboluwaga Oginni,15,Creighton,0,3,14,2015,2013
115,4,0,MAC,7,7,7,17,0,1,18,1,2,18,104,3,10,Richard Oruche,15,Northern Illinois,2,6,10,2007,2007
116,1,0,Big West,7,5,1,2,4,11,13,1,2,12,65,2,3,Gaber Ozegovic,15,Cal State Fullerton,2,6,9,2019,2019
117,3,0,Southland,13,6,3,3,3,16,19,0,0,16,59,6,6,Dean Pele,15,Stephen F. Austin,1,4,19,2008,2008
118,0,0,Total,6,4,3,4,1,1,5,6,6,27,46,2,6,Connor Perkey,15,Davidson,1,1,8,2017,2013
119,3,1,MAC,12,5,5,11,0,3,14,5,9,16,59,1,5,Ian Pinckney,15,Kent State,1,1,13,2010,2010
120,2,0,SWAC,6,5,3,5,2,5,10,3,4,10,57,1,4,Jamar Pope,15,Alabama State,4,2,7,2015,2015
121,3,18,Horizon,31,6,6,12,0,0,12,3,9,21,108,11,14,Burleigh Porte,15,Milwaukee,2,4,42,2010,2009
122,2,2,CUSA,5,5,4,11,1,8,19,4,5,6,44,3,7,Bennie Rhodes,15,Southern Methodist,0,3,8,2008,2008
123,0,7,MAAC,8,7,7,14,0,0,14,1,3,12,78,5,16,Daniel Robinson,15,Iona,1,2,13,2015,2014
124,2,1,Big 12,16,6,5,16,1,11,27,2,12,20,138,10,12,Hidde Roessink,15,Oklahoma State,3,9,26,2020,2020
125,3,0,Big 12,6,5,4,9,1,3,12,4,4,28,55,2,10,Richard Romeo,15,West Virginia,0,4,8,2016,2013
126,4,0,MEAC,5,3,3,10,0,0,10,9,14,10,89,1,12,Kendall Salley,15,Howard,1,8,6,2011,2011
127,5,2,AAC,10,7,7,21,0,0,21,1,3,15,84,1,9,Karim Sameh Azab,15,Memphis,1,4,11,2018,2018
128,1,0,Big 12,4,4,0,1,4,9,10,3,4,12,33,1,1,Kellen Sampson,15,Oklahoma,1,2,5,2007,2007
129,4,0,GWC,7,6,5,15,1,11,26,2,5,25,164,8,23,Rico Seagears,15,Texas-Rio Grande Valley,5,11,15,2010,2010
130,5,1,Horizon,7,6,5,16,1,2,18,2,5,13,65,4,11,Derek Semenas,15,Green Bay,3,5,11,2011,2011
131,2,0,Big West,6,7,6,10,1,4,14,0,0,10,44,1,9,B.J. Shaw,15,UC-Davis,1,3,7,2020,2020
132,2,0,SWAC,5,4,4,13,0,3,16,7,13,8,59,4,8,Dominique Shaw,15,Prairie View,4,1,9,2016,2016
133,3,0,ACC,8,3,0,2,3,6,8,6,8,15,45,2,4,Quinn Slazinski,15,Louisville,0,4,10,2020,2020
134,1,1,MWC,4,6,3,7,3,4,11,0,0,10,47,1,2,Djordjije Sljivancanin,15,Nevada-Las Vegas,0,1,5,2017,2017
135,1,0,Patriot,6,4,2,7,2,12,19,5,8,12,50,7,9,Ryan Spadaford,15,Navy,4,2,13,2013,2013
136,0,0,Total,5,6,6,10,0,3,13,3,6,21,45,9,5,Dan Stockdale,15,North Dakota,0,1,14,2013,2011
137,5,0,Big 12,6,6,4,6,2,7,13,1,1,27,53,1,1,Ford Stuen,15,Oklahoma State,1,3,7,2016,2013
138,8,0,A-Sun,11,4,4,9,0,0,9,7,10,23,72,0,11,Tevin Swann,15,Mercer,5,5,11,2010,2010
139,6,0,Big South,9,6,6,10,0,10,20,3,4,19,52,3,12,Jacob Talbert,15,Campbell,3,6,12,2017,2014
140,1,8,Big Sky,18,7,7,18,0,0,18,1,5,27,146,5,21,Tom Taylor,15,Idaho State,1,6,23,2009,2008
141,2,0,Southland,2,6,3,7,3,10,17,0,1,5,29,1,7,Tyrease Terrell,15,Nicholls State,0,1,3,2020,2020
142,1,1,MVC,8,6,5,8,1,7,15,2,4,25,54,1,6,Javaka Thompson,15,Illinois State,0,2,9,2017,2016
143,6,0,MEAC,4,5,2,5,3,11,16,2,3,12,56,2,4,Quincy Tillinghast,15,Delaware State,2,8,6,2017,2015
144,0,1,CUSA,4,5,5,9,0,0,9,5,8,17,56,2,11,Hippolyte Tsafack,15,Memphis,0,3,6,2013,2011
145,12,2,Big West,26,6,4,17,2,7,24,1,3,48,182,14,16,Jordan Turner,15,Pacific,6,7,40,2013,2010
146,4,0,WCC,5,5,0,1,5,20,21,0,0,18,116,2,20,Jeff Van Dyke,15,Pepperdine,4,6,7,2014,2014
147,0,8,Pac-12,11,7,7,10,0,0,10,1,2,9,43,4,5,Matt Van Komen,15,Utah,0,1,15,2020,2020
148,1,2,CUSA,14,5,5,14,0,0,14,5,13,27,74,6,8,Ivan Venegas,15,Texas-El Paso,0,4,20,2017,2016
149,1,0,CUSA,9,6,6,18,0,0,18,3,7,25,54,1,8,Luke Walker,15,Louisiana Tech,2,4,10,2017,2016
150,2,0,SEC,3,5,4,6,1,5,11,4,4,7,38,0,3,Jaykwon Walton,15,Georgia,0,1,3,2020,2020
151,3,1,Sun Belt,16,5,5,21,0,2,23,5,10,22,126,1,12,Jerron Washington,15,Little Rock,4,7,17,2015,2015
152,0,1,WCC,4,5,1,1,4,10,11,1,2,12,40,0,1,Wyatt Watson,15,Portland,0,1,4,2020,2020
153,9,1,MVC,16,5,2,3,3,16,19,2,4,13,134,5,18,Judd Welfringer,15,Drake,6,6,21,2012,2012
154,1,0,Big Sky,7,4,4,9,0,0,9,7,9,16,65,3,16,Clark Wilkinson,15,Idaho State,0,1,10,2017,2017
155,2,0,Summit,5,6,6,11,0,0,11,3,3,8,23,3,2,Odell Wilson IV,15,North Dakota State,0,6,8,2020,2020
156,5,1,ACC,9,6,4,8,2,10,18,1,4,37,70,2,3,Jack Wooten,15,North Carolina,0,2,11,2009,2008
157,1,0,Big Sky,4,5,0,2,5,13,15,0,1,22,78,1,13,Jamion Wright,15,Sacramento State,2,7,5,2019,2018
158,2,0,MAAC,7,5,3,7,2,5,12,3,4,8,43,1,4,Denzel Yard,15,Siena,3,8,8,2010,2010
159,9,1,Big 12,10,5,5,9,0,3,12,5,11,32,111,1,12,Clay Young,15,Kansas,2,4,11,2018,2016
160,0,2,Horizon,2,5,0,2,5,11,13,0,0,14,45,0,3,Cale Zuiker,15,Youngstown State,2,2,2,2012,2012
161,6,3,Pac-10,13,5,3,8,2,11,19,2,5,12,87,5,10,Thomas Abercrombie,14,Washington State,2,4,18,2008,2008
162,6,3,Horizon,12,5,3,9,2,4,13,2,3,43,121,6,12,Alex Anglin,14,Butler,0,4,18,2011,2008
163,0,0,MAAC,2,6,4,8,2,3,11,0,4,12,25,2,2,Vince Anthony,14,Marist,2,0,4,2008,2007
164,10,0,MAC,4,2,1,6,1,6,12,9,10,17,89,1,16,Lucas Antunez,14,Toledo,1,8,5,2017,2017
165,1,4,AEC,11,3,3,8,0,0,8,8,12,14,58,5,4,Ador Athuia,14,Binghamton,0,6,16,2020,2020
166,5,0,MWC,13,4,1,6,3,7,13,3,9,12,67,2,3,Jon Atkins,14,Air Force,2,5,15,2009,2009
167,2,0,MVC,5,4,3,6,1,2,8,5,10,32,66,1,3,Jake Baughman,14,Loyola (IL),1,2,6,2020,2017
168,0,0,Big South,5,4,4,7,0,0,7,6,9,6,18,3,2,Mike Bedulskis,14,North Carolina-Asheville,1,1,8,2014,2014
169,3,1,Southern,9,7,7,13,0,0,13,0,1,13,58,8,8,Ben Beeker,14,Furman,2,0,17,2020,2020
170,0,0,Summit,2,3,2,7,1,1,8,7,12,6,17,6,3,Hichem Benayad-Cherif,14,Purdue-Fort Wayne,0,2,8,2012,2012
171,3,0,Patriot,3,4,2,3,2,9,12,4,7,15,36,0,1,Sean Billerman,14,Army,0,0,3,2015,2012
172,3,0,Big Sky,2,5,5,9,0,3,12,4,6,21,97,0,9,Jerome Blockmon,14,Sacramento State,2,8,2,2009,2009
173,7,0,Big Sky,5,5,5,9,0,3,12,4,7,13,55,2,5,Wayne Bradford,14,Weber State,0,6,7,2013,2013
174,1,0,Patriot,2,4,3,6,1,1,7,5,5,17,28,1,4,Brandon Bradsher,14,Loyola (MD),0,2,3,2020,2019
175,3,0,Big East,2,6,4,6,2,2,8,0,2,8,31,1,0,Chris Brickley,14,Louisville,1,1,3,2010,2010
176,2,2,Summit,16,5,3,7,2,7,14,2,2,12,95,3,12,Carter Brooks,14,North Dakota,2,2,19,2019,2019
177,2,1,Horizon,8,5,4,5,1,9,14,3,4,10,54,2,7,Jacob Brown,14,Youngstown State,3,2,10,2018,2018
178,2,0,CAA,6,5,2,11,3,9,20,1,5,15,43,4,5,Myk Brown,14,Virginia Commonwealth,1,2,10,2008,2008
179,3,0,MEAC,3,6,4,10,2,8,18,0,0,7,44,3,3,Amaru Bryant,14,Savannah State,2,5,6,2019,2019
180,0,0,ACC,4,4,0,0,4,14,14,2,4,21,32,0,3,Dewey Burke,14,North Carolina,0,4,4,2007,2007
181,11,0,Big South,10,5,5,12,0,0,12,4,10,33,123,6,18,Bryan Burrell,14,Gardner-Webb,5,14,16,2011,2010
182,4,0,SEC,0,5,3,7,2,3,10,2,2,25,38,0,1,Quinn Cannington,14,Tennessee,1,1,0,2010,2007
183,1,3,WAC,5,5,1,6,4,20,26,0,0,16,101,3,13,Alex Carr,14,Louisiana Tech,3,2,8,2012,2012
184,14,0,Horizon,11,4,2,13,2,17,30,4,5,20,104,3,12,Ed Carter III,14,Detroit Mercy,4,8,14,2017,2017
185,9,0,GWC,16,6,5,15,1,5,20,1,2,24,250,5,28,Mashawn Chamberlain,14,Chicago State,9,11,21,2013,2013
186,2,0,A-10,1,4,0,0,4,6,6,2,2,8,15,1,2,Zach Chu,14,Richmond,0,2,2,2015,2012
187,0,0,SWAC,11,6,5,11,1,1,12,1,1,8,58,2,4,Caleb Coleman,14,Prairie View,0,2,13,2020,2020
188,1,0,OVC,0,5,3,3,2,11,14,2,2,14,28,1,1,Mason Cooper,14,Eastern Kentucky,3,0,1,2020,2019
189,14,0,MEAC,10,5,3,9,2,15,24,2,2,25,74,1,4,Justin Cotten,14,Howard,4,6,11,2019,2018
190,0,5,CUSA,12,7,7,13,0,0,13,0,0,19,89,5,16,Isaiah Cozart,14,Western Kentucky,2,3,17,2020,2020
191,1,0,CUSA,9,5,2,8,3,3,11,1,2,6,59,3,7,Marius Craciun,14,Rice,2,6,12,2007,2007
192,1,1,Big Ten,7,4,0,1,4,9,10,2,2,8,49,0,5,Samari Curtis,14,Nebraska,0,2,7,2020,2020
193,4,0,SEC,2,5,2,9,3,8,17,1,2,14,29,1,1,Drew Davis,14,Mississippi State,1,4,3,2018,2017
194,3,0,A-10,0,4,4,7,0,2,9,6,8,19,29,1,7,Hank Davis,14,La Salle,1,3,1,2017,2014
195,0,5,OVC,5,6,6,9,0,0,9,2,4,13,30,1,4,Nick Detlev,14,Tennessee-Martin,0,3,6,2017,2016
196,5,0,Sun Belt,4,5,4,10,1,5,15,3,4,20,69,2,4,Jose Diaz,14,South Alabama,1,7,6,2012,2011
197,8,0,CUSA,21,4,1,4,3,12,16,3,5,21,132,5,24,Jeremy Dillon,14,Marshall,7,12,26,2020,2020
198,3,3,Ivy,7,6,6,15,0,5,20,2,7,10,81,4,13,Cem Dinc,14,Harvard,1,6,11,2008,2008
